id_person,Culture,Location,n_recordings,f0_mean_hz,f0_sd_hz,f1_mean_hz,f2_mean_hz,f3_mean_hz,f4_mean_hz,vtl_proxy_hz
9,Mbendjele,Republic of Congo,1,262.5175658,40.09640029,538.902,1661.758,2820.902,3789.577,1758.9928618392205
9,Mentawai Islanders,Sumatra,1,186.8746111,15.36227671,533.094,2024.905,2953.454,4066.763,1897.5659576787646
9,Mestizo,Colombia,1,208.5126347,36.46348578,567.718,1711.874,2740.306,3947.525,1800.6615982007631
9,Nyangatom,Ethiopia,1,228.5033813,34.78794681,561.365,1739.673,3145.361,3937.612,1864.8937484472435
9,Rural Southern Poland,Poland,1,259.26064710000003,72.82066596,550.547,1902.107,3033.399,4178.895,1908.7765269755762
9,Sapara & Achuar,Ecuador,1,195.4180829,85.71164547,644.296,1951.296,3000.407,4004.733,1971.4718553027067
9,Toposa,Ethiopia,1,223.114411,53.09940932,562.014,1862.813,2869.787,3936.726,1854.4934837976243
9,Tsimane,Bolivia,1,188.2315517,20.54501475,529.304,1760.907,2997.707,4113.285,1841.216655936507
9,Urban Beijing,China,1,285.4799708,73.70096649,657.612,1636.524,2803.509,4055.19,1870.2571233449787
9,Urban San Diego,USA,1,393.4118557,99.07024698,711.702,1528.219,2632.305,3784.426,1814.2828773253057
9,Urban Toronto,Canada,1,281.3819409,103.3683026,564.44,1916.721,2887.348,3908.717,1869.2935638969236
9,Urban Wellington,New Zealand,1,275.5778629,59.17172253,587.596,1881.941,2996.523,4114.178,1921.5265162064302
9,Vanuatu,Vanuatu,1,218.5013809,44.55249972,598.042,1724.158,2921.13,3866.421,1847.3202596001672
10,Afr-Colombians,Colombia,1,284.0353086,56.86851462,692.898,2073.91,2926.999,4070.884,2034.1952164823058
10,Arawak,Guyana,1,315.3037234,71.94940885,576.559,1807.333,3086.207,4212.043,1918.4476181461046
10,Hadza,Tanzania,1,240.9724675,43.9744586,585.698,1952.588,3149.274,4177.004,1969.4271648234865
10,Jenu Kurubas,India,1,285.4052802,50.75797852,711.429,1934.604,2896.091,3925.999,1988.9392057031828
10,Krakow,Poland,1,282.9318145,75.42879203,716.591,1996.115,3096.193,4195.182,2076.1509893341417
10,Mbendjele,Republic of Congo,1,365.3670857,34.48523916,664.273,1682.379,2888.682,3779.648,1868.9831352390106
10,Mentawai Islanders,Sumatra,1,222.9341509,34.78862324,608.055,1721.312,3007.441,4017.688,1885.7926820844957
10,Mestizo,Colombia,1,218.6567692,61.88507496,646.031,1662.532,2867.865,4023.699,1876.298321655087
10,Nyangatom,Ethiopia,1,241.9242606,46.43281787,611.129,1625.365,2720.79,3845.64,1795.5060027098937
10,Rural Southern Poland,Poland,1,240.1386146,84.48774329,514.451,1927.114,3052,4107.89,1877.6458827909596
10,Sapara & Achuar,Ecuador,1,182.7742489,26.01570685,597.084,1953.484,3004.317,4163.987,1954.4524237141363
10,Toposa,Ethiopia,1,269.11488,47.90049666,586.208,1724.355,2689.377,3770.837,1789.3362772111795
10,Tsimane,Bolivia,1,224.7937037,88.01750352,531.724,1926.447,3071.715,4137.735,1899.5325064482101
10,Turku,Sweden,1,245.4505263,75.19816755,743.476,1866.75,3117.188,4127.241,2055.625444063384
10,Urban Beijing,China,1,284.2089333,66.7110555,634.136,1865.796,2975.86,3889.185,1923.6648795350393
10,Urban Toronto,Canada,1,297.2350862,109.5687285,600.526,1832.175,3045.851,4050.532,1919.4635633921164
10,Urban Wellington,New Zealand,1,298.9728468,112.0092206,582.405,1858.983,2909.158,4000.135,1884.0204722173532
11,Afr-Colombians,Colombia,1,208.89976,52.57470296,599.472,1864.005,3011.666,4145.596,1932.6465670890782
11,Arawak,Guyana,1,254.6835294,57.92315019,697.901,1976.364,3077.078,4059.281,2037.3333484770353
11,Jenu Kurubas,India,1,328.1975652,66.13844067,850.561,1908.629,2769.117,4065.248,2067.5871939838553
11,Krakow,Poland,1,229.09,58.10927666,721.713,1968.088,3125.811,4150.298,2071.871228092939
11,Mbendjele,Republic of Congo,1,249.4333108,31.39957676,506.6,1555.876,2762.428,3819.492,1698.1818106580156
11,Mestizo,Colombia,1,276.5019828,71.95040437,680.666,1734.521,2903.619,4001.648,1924.5226791847617
11,Nyangatom,Ethiopia,1,251.5772851,69.3000033,692.868,1676.04,2922.799,4040.468,1924.3823996482636
11,Rural Southern Poland,Poland,1,221.3181936,52.51601575,538.215,1931.309,3079.737,4122.191,1905.9536094237515
11,Sapara & Achuar,Ecuador,1,187.7924294,16.54374289,746.871,2214.847,3264.809,4294.341,2194.5016336580507
11,Toposa,Ethiopia,1,305.2160504,32.14518618,562.823,1781.09,2972.172,3903.975,1846.7566311172181
11,Turku,Finland,1,241.107375,68.35567563,720.365,2035.236,3122.975,4064.627,2077.0126724116285
